지자체이름,날짜,요일한글,방문객한글,방문자수
전라북도,20210519,수요일,외지인(b),267834 
전라북도,20210520,목요일,외지인(b),178731 
전라북도,20210521,금요일,외지인(b),215943 
전라북도,20210522,토요일,외지인(b),334856 
전라북도,20210523,일요일,외지인(b),303076 
전라북도,20210524,월요일,외지인(b),184223 
전라북도,20210525,화요일,외지인(b),182277 
전라북도,20210526,수요일,외지인(b),185665 
전라북도,20210527,목요일,외지인(b),182049 
전라북도,20210528,금요일,외지인(b),215978 
전라북도,20210529,토요일,외지인(b),335549 
전라북도,20210530,일요일,외지인(b),309554 
전라북도,20210531,월요일,외지인(b),186792 
전라북도,20210601,화요일,외지인(b),133651 
전라북도,20210602,수요일,외지인(b),136560 
전라북도,20210603,목요일,외지인(b),134596 
전라북도,20210604,금요일,외지인(b),183243 
전라북도,20210605,토요일,외지인(b),299086 
전라북도,20210606,일요일,외지인(b),273326 
전라북도,20210607,월요일,외지인(b),154403 
전라북도,20210608,화요일,외지인(b),154550 
전라북도,20210609,수요일,외지인(b),155708 
전라북도,20210610,목요일,외지인(b),160643 
전라북도,20210611,금요일,외지인(b),187702 
전라북도,20210612,토요일,외지인(b),301592 
전라북도,20210613,일요일,외지인(b),281974 
전라북도,20210614,월요일,외지인(b),168756 
전라북도,20210615,화요일,외지인(b),165414 
전라북도,20210616,수요일,외지인(b),174381 
전라북도,20210617,목요일,외지인(b),179211 
전라북도,20210618,금요일,외지인(b),211348 
전라북도,20210619,토요일,외지인(b),336655 
전라북도,20210620,일요일,외지인(b),310163 
전라북도,20210621,월요일,외지인(b),189378 
전라북도,20210622,화요일,외지인(b),189147 
전라북도,20210623,수요일,외지인(b),183386 
전라북도,20210624,목요일,외지인(b),192871 
전라북도,20210625,금요일,외지인(b),233839 
전라북도,20210626,토요일,외지인(b),342244 
전라북도,20210627,일요일,외지인(b),321776 
전라북도,20210628,월요일,외지인(b),197131 
전라북도,20210629,화요일,외지인(b),194551 
전라북도,20210630,수요일,외지인(b),193753 
전라북도,20210701,목요일,외지인(b),152509 
전라북도,20210702,금요일,외지인(b),194275 
전라북도,20210703,토요일,외지인(b),268706 
전라북도,20210704,일요일,외지인(b),241490 
전라북도,20210705,월요일,외지인(b),151676 
전라북도,20210706,화요일,외지인(b),141992 
전라북도,20210707,수요일,외지인(b),141992 
전라북도,20210708,목요일,외지인(b),151963 
전라북도,20210709,금요일,외지인(b),190348 
전라북도,20210710,토요일,외지인(b),284116 
전라북도,20210711,일요일,외지인(b),267099 
전라북도,20210712,월요일,외지인(b),171416 
전라북도,20210713,화요일,외지인(b),173229 
전라북도,20210714,수요일,외지인(b),178591 
전라북도,20210715,목요일,외지인(b),182879 
전라북도,20210716,금요일,외지인(b),218824 
전라북도,20210717,토요일,외지인(b),312183 
전라북도,20210718,일요일,외지인(b),302796 
전라북도,20210719,월요일,외지인(b),196851 
전라북도,20210720,화요일,외지인(b),197901 
전라북도,20210721,수요일,외지인(b),203315 
전라북도,20210722,목요일,외지인(b),210217 
전라북도,20210723,금요일,외지인(b),247230 
전라북도,20210724,토요일,외지인(b),340781 
전라북도,20210725,일요일,외지인(b),330782 
전라북도,20210726,월요일,외지인(b),236488 
전라북도,20210727,화요일,외지인(b),231644 
전라북도,20210728,수요일,외지인(b),238483 
전라북도,20210729,목요일,외지인(b),258983 
전라북도,20210730,금요일,외지인(b),307220 
전라북도,20210731,토요일,외지인(b),426864 
전라북도,20210801,일요일,외지인(b),367500 
전라북도,20210802,월요일,외지인(b),286398 
전라북도,20210803,화요일,외지인(b),268072 
전라북도,20210804,수요일,외지인(b),246019 
전라북도,20210805,목요일,외지인(b),243828 
전라북도,20210806,금요일,외지인(b),272153 
전라북도,20210807,토요일,외지인(b),339822 
전라북도,20210808,일요일,외지인(b),306485 
전라북도,20210809,월요일,외지인(b),210578 
전라북도,20210810,화요일,외지인(b),203746 
전라북도,20210811,수요일,외지인(b),207585 
전라북도,20210812,목요일,외지인(b),215544 
전라북도,20210813,금요일,외지인(b),254618 
전라북도,20210814,토요일,외지인(b),367612 
