도시이름,날짜,요일한글,방문객한글,방문자수
군산시,20210525,화요일,외지인(b),51335 
군산시,20210526,수요일,외지인(b),52266 
군산시,20210527,목요일,외지인(b),50838 
군산시,20210528,금요일,외지인(b),56364 
군산시,20210529,토요일,외지인(b),92239 
군산시,20210530,일요일,외지인(b),86608 
군산시,20210531,월요일,외지인(b),52217 
군산시,20210601,화요일,외지인(b),43355 
군산시,20210602,수요일,외지인(b),43292 
군산시,20210603,목요일,외지인(b),41087 
군산시,20210604,금요일,외지인(b),51681 
군산시,20210605,토요일,외지인(b),81249 
군산시,20210606,일요일,외지인(b),76052 
군산시,20210607,월요일,외지인(b),46337 
군산시,20210608,화요일,외지인(b),45805 
군산시,20210609,수요일,외지인(b),45980 
군산시,20210610,목요일,외지인(b),45812 
군산시,20210611,금요일,외지인(b),52644 
군산시,20210612,토요일,외지인(b),83909 
군산시,20210613,일요일,외지인(b),75597 
군산시,20210614,월요일,외지인(b),47114 
군산시,20210615,화요일,외지인(b),46662 
군산시,20210616,수요일,외지인(b),51237 
군산시,20210617,목요일,외지인(b),50880 
군산시,20210618,금요일,외지인(b),57033 
군산시,20210619,토요일,외지인(b),92267 
군산시,20210620,일요일,외지인(b),80826 
군산시,20210621,월요일,외지인(b),53554 
군산시,20210622,화요일,외지인(b),53393 
군산시,20210623,수요일,외지인(b),51149 
군산시,20210624,목요일,외지인(b),53253 
군산시,20210625,금요일,외지인(b),63263 
군산시,20210626,토요일,외지인(b),93065 
군산시,20210627,일요일,외지인(b),83762 
군산시,20210628,월요일,외지인(b),53841 
군산시,20210629,화요일,외지인(b),53687 
군산시,20210630,수요일,외지인(b),53991 
군산시,20210701,목요일,외지인(b),48185 
군산시,20210702,금요일,외지인(b),57432 
군산시,20210703,토요일,외지인(b),72856 
군산시,20210704,일요일,외지인(b),63266 
군산시,20210705,월요일,외지인(b),43873 
군산시,20210706,화요일,외지인(b),42084 
군산시,20210707,수요일,외지인(b),40891 
군산시,20210708,목요일,외지인(b),43484 
군산시,20210709,금요일,외지인(b),52234 
군산시,20210710,토요일,외지인(b),76353 
군산시,20210711,일요일,외지인(b),69678 
군산시,20210712,월요일,외지인(b),46855 
군산시,20210713,화요일,외지인(b),47233 
군산시,20210714,수요일,외지인(b),48454 
군산시,20210715,목요일,외지인(b),50218 
