도시이름,날짜,요일한글,방문객한글,방문자수
정읍시,20210501,토요일,외지인(b),36579 
정읍시,20210502,일요일,외지인(b),33261 
정읍시,20210503,월요일,외지인(b),23751 
정읍시,20210504,화요일,외지인(b),22747 
정읍시,20210505,수요일,외지인(b),32256 
정읍시,20210506,목요일,외지인(b),23716 
정읍시,20210507,금요일,외지인(b),29694 
정읍시,20210508,토요일,외지인(b),52766 
정읍시,20210509,일요일,외지인(b),42889 
정읍시,20210510,월요일,외지인(b),22428 
정읍시,20210511,화요일,외지인(b),20993 
정읍시,20210512,수요일,외지인(b),22474 
정읍시,20210513,목요일,외지인(b),23478 
정읍시,20210514,금요일,외지인(b),25536 
정읍시,20210515,토요일,외지인(b),32627 
정읍시,20210516,일요일,외지인(b),27073 
정읍시,20210517,월요일,외지인(b),20892 
정읍시,20210518,화요일,외지인(b),25571 
정읍시,20210519,수요일,외지인(b),33051 
정읍시,20210520,목요일,외지인(b),21833 
정읍시,20210521,금요일,외지인(b),26285 
정읍시,20210522,토요일,외지인(b),36894 
정읍시,20210523,일요일,외지인(b),33481 
정읍시,20210524,월요일,외지인(b),23534 
정읍시,20210525,화요일,외지인(b),23198 
정읍시,20210526,수요일,외지인(b),24066 
정읍시,20210527,목요일,외지인(b),23370 
정읍시,20210528,금요일,외지인(b),26177 
정읍시,20210529,토요일,외지인(b),36946 
정읍시,20210530,일요일,외지인(b),34934 
정읍시,20210531,월요일,외지인(b),23293 
정읍시,20210601,화요일,외지인(b),20475 
정읍시,20210602,수요일,외지인(b),20591 
정읍시,20210603,목요일,외지인(b),18998 
정읍시,20210604,금요일,외지인(b),24850 
정읍시,20210605,토요일,외지인(b),36810 
정읍시,20210606,일요일,외지인(b),32246 
정읍시,20210607,월요일,외지인(b),20769 
정읍시,20210608,화요일,외지인(b),21725 
정읍시,20210609,수요일,외지인(b),22117 
정읍시,20210610,목요일,외지인(b),21935 
정읍시,20210611,금요일,외지인(b),24147 
정읍시,20210612,토요일,외지인(b),36439 
정읍시,20210613,일요일,외지인(b),34279 
정읍시,20210614,월요일,외지인(b),22705 
정읍시,20210615,화요일,외지인(b),21784 
정읍시,20210616,수요일,외지인(b),24304 
정읍시,20210617,목요일,외지인(b),25718 
정읍시,20210618,금요일,외지인(b),26775 
정읍시,20210619,토요일,외지인(b),44335 
정읍시,20210620,일요일,외지인(b),39785 
정읍시,20210621,월요일,외지인(b),25662 
정읍시,20210622,화요일,외지인(b),26362 
정읍시,20210623,수요일,외지인(b),24479 
정읍시,20210624,목요일,외지인(b),25071 
정읍시,20210625,금요일,외지인(b),28872 
