도시이름,날짜,요일한글,방문객한글,방문자수
완주군,20210525,화요일,외지인(b),43309 
완주군,20210526,수요일,외지인(b),44625 
완주군,20210527,목요일,외지인(b),42053 
완주군,20210528,금요일,외지인(b),44723 
완주군,20210529,토요일,외지인(b),71747 
완주군,20210530,일요일,외지인(b),68194 
완주군,20210531,월요일,외지인(b),41955 
완주군,20210601,화요일,외지인(b),39221 
완주군,20210602,수요일,외지인(b),40733 
완주군,20210603,목요일,외지인(b),35056 
완주군,20210604,금요일,외지인(b),46137 
완주군,20210605,토요일,외지인(b),69412 
완주군,20210606,일요일,외지인(b),63959 
완주군,20210607,월요일,외지인(b),40023 
완주군,20210608,화요일,외지인(b),42417 
완주군,20210609,수요일,외지인(b),44020 
완주군,20210610,목요일,외지인(b),43222 
완주군,20210611,금요일,외지인(b),44149 
완주군,20210612,토요일,외지인(b),68100 
완주군,20210613,일요일,외지인(b),68054 
완주군,20210614,월요일,외지인(b),41402 
완주군,20210615,화요일,외지인(b),40866 
완주군,20210616,수요일,외지인(b),45980 
완주군,20210617,목요일,외지인(b),45381 
완주군,20210618,금요일,외지인(b),46389 
완주군,20210619,토요일,외지인(b),73441 
완주군,20210620,일요일,외지인(b),71876 
완주군,20210621,월요일,외지인(b),44121 
완주군,20210622,화요일,외지인(b),45962 
완주군,20210623,수요일,외지인(b),44954 
완주군,20210624,목요일,외지인(b),46911 
완주군,20210625,금요일,외지인(b),50680 
완주군,20210626,토요일,외지인(b),72412 
완주군,20210627,일요일,외지인(b),72856 
완주군,20210628,월요일,외지인(b),42959 
완주군,20210629,화요일,외지인(b),45626 
완주군,20210630,수요일,외지인(b),45973 
완주군,20210701,목요일,외지인(b),39053 
완주군,20210702,금요일,외지인(b),43617 
완주군,20210703,토요일,외지인(b),60407 
완주군,20210704,일요일,외지인(b),56455 
완주군,20210705,월요일,외지인(b),35613 
완주군,20210706,화요일,외지인(b),34780 
완주군,20210707,수요일,외지인(b),34290 
완주군,20210708,목요일,외지인(b),37013 
완주군,20210709,금요일,외지인(b),43306 
완주군,20210710,토요일,외지인(b),69034 
완주군,20210711,일요일,외지인(b),67652 
완주군,20210712,월요일,외지인(b),39162 
