도시이름,날짜,요일한글,방문객한글,방문자수
전주시 덕진구,20210428,수요일,외지인(b),81634 
전주시 덕진구,20210429,목요일,외지인(b),84490 
전주시 덕진구,20210430,금요일,외지인(b),97153 
전주시 덕진구,20210501,토요일,외지인(b),101896 
전주시 덕진구,20210502,일요일,외지인(b),92673 
전주시 덕진구,20210503,월요일,외지인(b),75835 
전주시 덕진구,20210504,화요일,외지인(b),79629 
전주시 덕진구,20210505,수요일,외지인(b),92099 
전주시 덕진구,20210506,목요일,외지인(b),80801 
전주시 덕진구,20210507,금요일,외지인(b),91665 
전주시 덕진구,20210508,토요일,외지인(b),120351 
전주시 덕진구,20210509,일요일,외지인(b),102914 
전주시 덕진구,20210510,월요일,외지인(b),74477 
전주시 덕진구,20210511,화요일,외지인(b),74183 
전주시 덕진구,20210512,수요일,외지인(b),79695 
전주시 덕진구,20210513,목요일,외지인(b),80959 
전주시 덕진구,20210514,금요일,외지인(b),91126 
전주시 덕진구,20210515,토요일,외지인(b),106271 
전주시 덕진구,20210516,일요일,외지인(b),78313 
전주시 덕진구,20210517,월요일,외지인(b),77655 
전주시 덕진구,20210518,화요일,외지인(b),90409 
전주시 덕진구,20210519,수요일,외지인(b),94322 
전주시 덕진구,20210520,목요일,외지인(b),83059 
전주시 덕진구,20210521,금요일,외지인(b),92222 
전주시 덕진구,20210522,토요일,외지인(b),115336 
전주시 덕진구,20210523,일요일,외지인(b),93156 
전주시 덕진구,20210524,월요일,외지인(b),81445 
전주시 덕진구,20210525,화요일,외지인(b),83657 
전주시 덕진구,20210526,수요일,외지인(b),85918 
전주시 덕진구,20210527,목요일,외지인(b),84371 
전주시 덕진구,20210528,금요일,외지인(b),92008 
전주시 덕진구,20210529,토요일,외지인(b),115864 
전주시 덕진구,20210530,일요일,외지인(b),96128 
전주시 덕진구,20210531,월요일,외지인(b),87710 
전주시 덕진구,20210601,화요일,외지인(b),73511 
전주시 덕진구,20210602,수요일,외지인(b),76433 
전주시 덕진구,20210603,목요일,외지인(b),75516 
전주시 덕진구,20210604,금요일,외지인(b),89950 
전주시 덕진구,20210605,토요일,외지인(b),111083 
전주시 덕진구,20210606,일요일,외지인(b),87185 
전주시 덕진구,20210607,월요일,외지인(b),79114 
전주시 덕진구,20210608,화요일,외지인(b),81505 
전주시 덕진구,20210609,수요일,외지인(b),82044 
전주시 덕진구,20210610,목요일,외지인(b),82922 
전주시 덕진구,20210611,금요일,외지인(b),92043 
전주시 덕진구,20210612,토요일,외지인(b),106075 
전주시 덕진구,20210613,일요일,외지인(b),87665 
전주시 덕진구,20210614,월요일,외지인(b),83272 
전주시 덕진구,20210615,화요일,외지인(b),84522 
전주시 덕진구,20210616,수요일,외지인(b),86940 
전주시 덕진구,20210617,목요일,외지인(b),88557 
전주시 덕진구,20210618,금요일,외지인(b),97927 
전주시 덕진구,20210619,토요일,외지인(b),116155 
전주시 덕진구,20210620,일요일,외지인(b),95834 
전주시 덕진구,20210621,월요일,외지인(b),87402 
전주시 덕진구,20210622,화요일,외지인(b),91644 
전주시 덕진구,20210623,수요일,외지인(b),89072 
전주시 덕진구,20210624,목요일,외지인(b),91991 
전주시 덕진구,20210625,금요일,외지인(b),100982 
전주시 덕진구,20210626,토요일,외지인(b),116295 
전주시 덕진구,20210627,일요일,외지인(b),97594 
전주시 덕진구,20210628,월요일,외지인(b),89866 
전주시 덕진구,20210629,화요일,외지인(b),91924 
전주시 덕진구,20210630,수요일,외지인(b),92635 
전주시 덕진구,20210701,목요일,외지인(b),73500 
전주시 덕진구,20210702,금요일,외지인(b),85526 
전주시 덕진구,20210703,토요일,외지인(b),95211 
전주시 덕진구,20210704,일요일,외지인(b),81519 
전주시 덕진구,20210705,월요일,외지인(b),75201 
전주시 덕진구,20210706,화요일,외지인(b),74344 
전주시 덕진구,20210707,수요일,외지인(b),74288 
전주시 덕진구,20210708,목요일,외지인(b),79489 
전주시 덕진구,20210709,금요일,외지인(b),90087 
전주시 덕진구,20210710,토요일,외지인(b),104041 
전주시 덕진구,20210711,일요일,외지인(b),88606 
전주시 덕진구,20210712,월요일,외지인(b),81494 
전주시 덕진구,20210713,화요일,외지인(b),83237 
전주시 덕진구,20210714,수요일,외지인(b),82873 
전주시 덕진구,20210715,목요일,외지인(b),85299 
전주시 덕진구,20210716,금요일,외지인(b),93191 
전주시 덕진구,20210717,토요일,외지인(b),105200 
전주시 덕진구,20210718,일요일,외지인(b),88722 
전주시 덕진구,20210719,월요일,외지인(b),86177 
전주시 덕진구,20210720,화요일,외지인(b),87238 
전주시 덕진구,20210721,수요일,외지인(b),88060 
전주시 덕진구,20210722,목요일,외지인(b),90850 
전주시 덕진구,20210723,금요일,외지인(b),97755 
전주시 덕진구,20210724,토요일,외지인(b),103054 
전주시 덕진구,20210725,일요일,외지인(b),89954 
전주시 덕진구,20210726,월요일,외지인(b),90657 
전주시 덕진구,20210727,화요일,외지인(b),90090 
전주시 덕진구,20210728,수요일,외지인(b),90129 
전주시 덕진구,20210729,목요일,외지인(b),93286 
전주시 덕진구,20210730,금요일,외지인(b),101304 
전주시 덕진구,20210731,토요일,외지인(b),108031 
전주시 덕진구,20210801,일요일,외지인(b),78232 
전주시 덕진구,20210802,월요일,외지인(b),82835 
전주시 덕진구,20210803,화요일,외지인(b),85439 
전주시 덕진구,20210804,수요일,외지인(b),80997 
전주시 덕진구,20210805,목요일,외지인(b),82684 
전주시 덕진구,20210806,금요일,외지인(b),88295 
전주시 덕진구,20210807,토요일,외지인(b),99393 
전주시 덕진구,20210808,일요일,외지인(b),78446 
전주시 덕진구,20210809,월요일,외지인(b),81816 
전주시 덕진구,20210810,화요일,외지인(b),82334 
전주시 덕진구,20210811,수요일,외지인(b),85817 
전주시 덕진구,20210812,목요일,외지인(b),83132 
전주시 덕진구,20210813,금요일,외지인(b),92768 
전주시 덕진구,20210814,토요일,외지인(b),102617 
전주시 덕진구,20210815,일요일,외지인(b),98441 
전주시 덕진구,20210816,월요일,외지인(b),86982 
전주시 덕진구,20210817,화요일,외지인(b),85775 
전주시 덕진구,20210818,수요일,외지인(b),83416 
전주시 덕진구,20210819,목요일,외지인(b),86100 
전주시 덕진구,20210820,금요일,외지인(b),94546 
전주시 덕진구,20210821,토요일,외지인(b),89758 
전주시 덕진구,20210822,일요일,외지인(b),84784 
전주시 덕진구,20210823,월요일,외지인(b),79800 
