,도시이름,날짜,요일한글,방문객한글,방문자수,최대순간풍향/풍속(m/s)(시각),최저기온(시각),최고기온(시각),일강우량,최저습도(시각),최고습도(시각),최저기압(시각),최고기압(시각)
87,정읍시,03-29,월요일,외지인(b),26726,248.2 / WSW8.1,7.1,16.3,0.0,30,92,1007.3,1011.4
88,정읍시,03-30,화요일,외지인(b),28588,11.3 / NNE8.7,5.3,17.8,0.0,24,85,1010.9,1014.3
89,정읍시,03-31,수요일,외지인(b),29316,335.6 / NNW5.2,2.9,22.4,0.0,24,78,1011.5,1014.9
90,정읍시,04-01,목요일,외지인(b),22680,87.4 / E7.5,6.7,22.5,0.0,21,75,1014.4,1017.6
91,정읍시,04-02,금요일,외지인(b),26653,200.2 / SSW7.6,13.8,25.5,0.0,25,53,1015.3,1018.6
92,정읍시,04-03,토요일,외지인(b),31854,143.8 / SE10.6,11.9,19.7,6.1,52,95,1007.9,1015.8
93,정읍시,04-04,일요일,외지인(b),29012,5.6 / N6.1,7.4,12.6,4.6,75,95,1009.6,1019.8
94,정읍시,04-05,월요일,외지인(b),23961,19.7 / NNE8.3,4.9,17.1,0.0,24,97,1019.7,1023.5
95,정읍시,04-06,화요일,외지인(b),22425,8.5 / N8.3,4.4,17.5,0.0,22,84,1019.4,1022.7
96,정읍시,04-07,수요일,외지인(b),21945,8.5 / N7.9,4.4,20.0,0.0,24,84,1018.0,1022.9
97,정읍시,04-08,목요일,외지인(b),23107,2.8 / N7.8,5.5,16.8,0.0,18,78,1018.1,1021.0
98,정읍시,04-09,금요일,외지인(b),26474,335.6 / NNW6.8,2.5,19.8,0.0,23,81,1020.8,1028.0
99,정읍시,04-10,토요일,외지인(b),38752,8.5 / N8.4,6.0,18.9,0.0,30,85,1028.0,1031.5
100,정읍시,04-11,일요일,외지인(b),34601,203.0 / SSW5.3,5.2,23.7,0.0,17,85,1025.5,1031.6
101,정읍시,04-12,월요일,외지인(b),19457,183.3 / S10.1,11.3,15.4,12.8,24,92,1010.3,1027.1
102,정읍시,04-13,화요일,외지인(b),20580,251.0 / WSW10.9,4.7,14.8,1.3,56,94,1010.0,1020.1
103,정읍시,04-14,수요일,외지인(b),22400,19.7 / NNE7.7,2.8,13.8,0.0,26,78,1018.8,1022.2
104,정읍시,04-15,목요일,외지인(b),23786,8.5 / N6.4,1.1,18.4,0.0,21,88,1015.4,1021.7
105,정읍시,04-16,금요일,외지인(b),24829,248.2 / WSW8.9,6.1,15.8,0.7,43,91,1015.7,1018.4
106,정읍시,04-17,토요일,외지인(b),34580,318.7 / NW12.9,6.6,15.8,0.0,24,98,1014.9,1018.1
107,정읍시,04-18,일요일,외지인(b),31714,338.4 / NNW10.9,4.1,13.9,0.0,32,84,1016.8,1019.7
108,정읍시,04-19,월요일,외지인(b),22015,338.4 / NNW6.1,2.2,19.6,0.0,24,88,1016.7,1020.0
109,정읍시,04-20,화요일,외지인(b),23296,19.7 / NNE6.4,4.9,22.3,0.0,25,86,1018.8,1022.4
110,정읍시,04-21,수요일,외지인(b),23814,279.2 / W7.3,8.3,27.7,0.0,18,75,1018.5,1022.6
111,정읍시,04-22,목요일,외지인(b),23979,200.2 / SSW10.2,12.1,26.4,0.0,19,68,1015.7,1021.8
112,정읍시,04-23,금요일,외지인(b),27213,76.1 / ENE8.1,16.8,26.4,0.0,20,46,1014.4,1018.5
113,정읍시,04-24,토요일,외지인(b),38066,8.5 / N9.8,12.1,24.7,0.0,23,64,1017.6,1020.0
114,정읍시,04-25,일요일,외지인(b),34507,248.2 / WSW6.9,8.6,24.6,0.0,34,79,1016.0,1021.4
115,정읍시,04-26,월요일,외지인(b),24728,146.6 / SSE5.5,8.9,22.8,0.0,24,87,1018.9,1022.5
116,정읍시,04-27,화요일,외지인(b),24427,234.1 / SW7.7,9.6,22.1,0.0,26,77,1015.6,1021.7
117,정읍시,04-28,수요일,외지인(b),24507,16.9 / NNE6.3,11.8,20.9,0.0,27,88,1013.3,1018.9
118,정읍시,04-29,목요일,외지인(b),24735,200.2 / SSW20.2,11.4,20.2,1.1,28,72,1000.6,1013.4
119,정읍시,04-30,금요일,외지인(b),28529,203.0 / SSW17.4,9.7,15.9,0.1,41,88,1000.4,1009.6
120,정읍시,05-01,토요일,외지인(b),36579,346.9 / NNW10.7,7.9,12.6,6.0,54,92,1002.6,1012.0
121,정읍시,05-02,일요일,외지인(b),33261,19.7 / NNE6.9,6.7,17.4,0.0,43,90,1011.7,1021.1
122,정읍시,05-03,월요일,외지인(b),23751,267.9 / W6.3,4.9,22.0,0.0,26,93,1016.0,1020.8
123,정읍시,05-04,화요일,외지인(b),22747,188.9 / S12.3,11.3,21.6,13.2,54,92,1002.4,1016.8
124,정읍시,05-05,수요일,외지인(b),32256,321.5 / NW8.4,6.8,19.1,0.0,22,93,1006.6,1019.6
125,정읍시,05-06,목요일,외지인(b),23716,203.0 / SSW6.6,5.3,22.8,0.0,21,68,1012.1,1019.5
126,정읍시,05-07,금요일,외지인(b),29694,197.4 / SSW13.0,8.2,20.9,0.0,27,87,1006.7,1012.1
127,정읍시,05-08,토요일,외지인(b),52766,245.3 / WSW13.7,6.7,23.1,0.0,32,87,1001.6,1010.4
128,정읍시,05-09,일요일,외지인(b),42889,19.7 / NNE8.0,7.3,21.8,0.0,23,93,1008.0,1012.2
129,정읍시,05-10,월요일,외지인(b),22428,2.8 / N14.4,10.9,17.9,0.4,42,89,1008.8,1015.6
130,정읍시,05-11,화요일,외지인(b),20993,118.4 / ESE7.4,13.1,25.7,0.5,44,91,1009.3,1012.6
131,정읍시,05-12,수요일,외지인(b),22474,16.9 / NNE8.0,11.8,27.7,0.0,38,77,1007.7,1012.0
132,정읍시,05-13,목요일,외지인(b),23478,25.4 / NNE6.3,14.3,28.2,0.0,42,87,1009.3,1012.4
133,정읍시,05-14,금요일,외지인(b),25536,279.2 / W6.1,14.8,29.1,0.0,41,87,1009.3,1013.2
134,정읍시,05-15,토요일,외지인(b),32627,180.5 / S7.4,19.1,26.2,0.8,66,88,1003.1,1009.5
135,정읍시,05-16,일요일,외지인(b),27073,205.9 / SSW9.5,16.4,23.0,49.1,81,96,999.1,1005.0
136,정읍시,05-17,월요일,외지인(b),20892,265.1 / W7.0,13.7,16.7,2.2,83,95,1002.9,1010.9
137,정읍시,05-18,화요일,외지인(b),25571,11.3 / NNE7.8,13.2,22.7,0.0,56,94,1009.0,1012.4
138,정읍시,05-19,수요일,외지인(b),33051,0.0 / N6.9,11.9,26.9,0.0,29,95,1009.4,1013.0
139,정읍시,05-20,목요일,외지인(b),21833,248.2 / WSW8.6,14.6,18.1,4.4,67,94,1000.3,1011.1
