,도시이름,날짜,요일한글,방문객한글,방문자수
0,군산시,20210507,금요일,외지인(b),58170.0
1,군산시,20210506,목요일,외지인(b),52157.0
2,군산시,20210505,수요일,외지인(b),75404.0
3,군산시,20210504,화요일,외지인(b),48433.0
4,군산시,20210509,일요일,외지인(b),91343.0
5,군산시,20210508,토요일,외지인(b),94713.5
6,군산시,20210510,월요일,외지인(b),44152.5
7,군산시,20210616,수요일,외지인(b),51236.5
8,군산시,20210615,화요일,외지인(b),46662.0
9,군산시,20210617,목요일,외지인(b),50879.5
10,군산시,20210619,토요일,외지인(b),92267.0
11,군산시,20210618,금요일,외지인(b),57032.5
12,군산시,20210621,월요일,외지인(b),53553.5
13,군산시,20210620,일요일,외지인(b),80825.5
14,군산시,20210623,수요일,외지인(b),51149.0
15,군산시,20210622,화요일,외지인(b),53392.5
16,군산시,20210605,토요일,외지인(b),81249.0
17,군산시,20210606,일요일,외지인(b),76051.5
18,군산시,20210608,화요일,외지인(b),45804.5
19,군산시,20210607,월요일,외지인(b),46336.5
20,군산시,20210610,목요일,외지인(b),45811.5
21,군산시,20210609,수요일,외지인(b),45979.5
22,군산시,20210612,토요일,외지인(b),83909.0
23,군산시,20210611,금요일,외지인(b),52643.5
24,군산시,20210614,월요일,외지인(b),47113.5
25,군산시,20210613,일요일,외지인(b),75596.5
26,군산시,20210701,목요일,외지인(b),48184.5
27,군산시,20210704,일요일,외지인(b),63266.0
28,군산시,20210703,토요일,외지인(b),72856.0
29,군산시,20210705,월요일,외지인(b),43872.5
30,군산시,20210707,수요일,외지인(b),40890.5
31,군산시,20210706,화요일,외지인(b),42084.0
32,군산시,20210709,금요일,외지인(b),52234.0
33,군산시,20210708,목요일,외지인(b),43484.0
34,군산시,20210710,토요일,외지인(b),76352.5
35,군산시,20210711,일요일,외지인(b),69678.0
36,군산시,20210624,목요일,외지인(b),53252.5
37,군산시,20210625,금요일,외지인(b),63262.5
38,군산시,20210626,토요일,외지인(b),93065.0
39,군산시,20210627,일요일,외지인(b),83762.0
40,군산시,20210629,화요일,외지인(b),53686.5
41,군산시,20210628,월요일,외지인(b),53840.5
42,군산시,20210702,금요일,외지인(b),57431.5
43,군산시,20210630,수요일,외지인(b),53991.0
44,군산시,20210525,화요일,외지인(b),51334.5
45,군산시,20210526,수요일,외지인(b),52265.5
46,군산시,20210527,목요일,외지인(b),50837.5
47,군산시,20210528,금요일,외지인(b),56364.0
48,군산시,20210530,일요일,외지인(b),86607.5
49,군산시,20210529,토요일,외지인(b),92239.0
50,군산시,20210531,월요일,외지인(b),52216.5
51,군산시,20210601,화요일,외지인(b),43354.5
52,군산시,20210602,수요일,외지인(b),43291.5
53,군산시,20210517,월요일,외지인(b),47939.5
54,군산시,20210604,금요일,외지인(b),51681.0
55,군산시,20210603,목요일,외지인(b),41086.5
56,군산시,20210518,화요일,외지인(b),56962.5
57,군산시,20210519,수요일,외지인(b),80822.0
58,군산시,20210520,목요일,외지인(b),49287.0
59,군산시,20210521,금요일,외지인(b),59524.5
60,군산시,20210522,토요일,외지인(b),94923.5
61,군산시,20210523,일요일,외지인(b),84171.5
62,군산시,20210524,월요일,외지인(b),52552.5
63,군산시,20210730,금요일,외지인(b),73430.0
64,군산시,20210712,월요일,외지인(b),46854.5
65,군산시,20210813,금요일,외지인(b),67529.0
66,군산시,20210812,목요일,외지인(b),57781.5
67,군산시,20210717,토요일,외지인(b),80524.5
68,군산시,20210805,목요일,외지인(b),62114.5
69,군산시,20210719,월요일,외지인(b),52804.5
70,군산시,20210718,일요일,외지인(b),72569.0
71,군산시,20210804,수요일,외지인(b),62069.0
72,군산시,20210720,화요일,외지인(b),53669.0
73,군산시,20210803,화요일,외지인(b),66143.0
74,군산시,20210724,토요일,외지인(b),84731.5
75,군산시,20210723,금요일,외지인(b),63595.0
76,군산시,20210725,일요일,외지인(b),77843.5
77,군산시,20210818,수요일,외지인(b),55660.5
78,군산시,20210726,월요일,외지인(b),59748.5
79,군산시,20210817,화요일,외지인(b),55583.5
80,군산시,20210810,화요일,외지인(b),55485.5
81,군산시,20210811,수요일,외지인(b),56122.5
82,군산시,20210924,금요일,외지인(b),68936.0
83,군산시,20210921,화요일,외지인(b),157629.5
84,군산시,20210923,목요일,외지인(b),64991.5
85,군산시,20210815,일요일,외지인(b),103950.0
86,군산시,20210814,토요일,외지인(b),97349.0
87,군산시,20210801,일요일,외지인(b),80045.0
88,군산시,20210731,토요일,외지인(b),97860.0
89,군산시,20210919,일요일,외지인(b),139639.5
90,군산시,20210802,월요일,외지인(b),67154.5
91,군산시,20210918,토요일,외지인(b),108871.0
92,군산시,20210806,금요일,외지인(b),67690.0
93,군산시,20210807,토요일,외지인(b),83664.0
94,군산시,20210808,일요일,외지인(b),73706.5
95,군산시,20210917,금요일,외지인(b),62478.5
96,군산시,20210816,월요일,외지인(b),80538.5
97,군산시,20210916,목요일,외지인(b),56073.5
98,군산시,20210925,토요일,외지인(b),90107.5
99,군산시,20210809,월요일,외지인(b),55569.5
100,군산시,20210821,토요일,외지인(b),69401.5
101,군산시,20210828,토요일,외지인(b),89313.0
102,군산시,20210729,목요일,외지인(b),64354.5
103,군산시,20210728,수요일,외지인(b),61043.5
104,군산시,20210713,화요일,외지인(b),47232.5
105,군산시,20210714,수요일,외지인(b),48454.0
106,군산시,20210824,화요일,외지인(b),47764.5
107,군산시,20210819,목요일,외지인(b),56696.5
108,군산시,20210716,금요일,외지인(b),58940.0
109,군산시,20210715,목요일,외지인(b),50218.0
110,군산시,20210825,수요일,외지인(b),50344.0
111,군산시,20210822,일요일,외지인(b),76142.5
112,군산시,20210721,수요일,외지인(b),55503.0
113,군산시,20210820,금요일,외지인(b),63868.0
114,군산시,20210827,금요일,외지인(b),59752.0
115,군산시,20210722,목요일,외지인(b),56311.5
116,군산시,20210727,화요일,외지인(b),58691.5
117,군산시,20210823,월요일,외지인(b),49493.5
118,군산시,20210826,목요일,외지인(b),57897.0
119,군산시,20210901,수요일,외지인(b),42035.0
120,군산시,20210913,월요일,외지인(b),58705.5
121,군산시,20210906,월요일,외지인(b),46165.0
122,군산시,20210922,수요일,외지인(b),106949.5
123,군산시,20210905,일요일,외지인(b),83730.5
124,군산시,20210912,일요일,외지인(b),84633.5
125,군산시,20210911,토요일,외지인(b),93583.0
126,군산시,20210910,금요일,외지인(b),62814.5
127,군산시,20210904,토요일,외지인(b),94143.0
128,군산시,20210909,목요일,외지인(b),55776.0
129,군산시,20210915,수요일,외지인(b),52209.5
130,군산시,20210920,월요일,외지인(b),152855.5
131,군산시,20210903,금요일,외지인(b),62233.5
132,군산시,20210908,수요일,외지인(b),51621.5
133,군산시,20210914,화요일,외지인(b),54127.5
134,군산시,20210902,목요일,외지인(b),47089.0
135,군산시,20210829,일요일,외지인(b),79705.5
136,군산시,20210830,월요일,외지인(b),58156.0
137,군산시,20210907,화요일,외지인(b),44870.0
138,군산시,20210926,일요일,외지인(b),85382.5
139,군산시,20210927,월요일,외지인(b),60025.0
