도시이름,날짜,요일한글,방문객한글,방문자수
전주시 완산구,20210503,월요일,외지인(b),84648 
전주시 완산구,20210504,화요일,외지인(b),87252 
전주시 완산구,20210505,수요일,외지인(b),112067 
전주시 완산구,20210506,목요일,외지인(b),88344 
전주시 완산구,20210507,금요일,외지인(b),101780 
전주시 완산구,20210508,토요일,외지인(b),145121 
전주시 완산구,20210509,일요일,외지인(b),115259 
전주시 완산구,20210510,월요일,외지인(b),78936 
전주시 완산구,20210511,화요일,외지인(b),76850 
전주시 완산구,20210512,수요일,외지인(b),82541 
전주시 완산구,20210513,목요일,외지인(b),83979 
전주시 완산구,20210514,금요일,외지인(b),98431 
전주시 완산구,20210515,토요일,외지인(b),131201 
전주시 완산구,20210516,일요일,외지인(b),98368 
전주시 완산구,20210517,월요일,외지인(b),82870 
전주시 완산구,20210518,화요일,외지인(b),96779 
전주시 완산구,20210519,수요일,외지인(b),110607 
전주시 완산구,20210520,목요일,외지인(b),86146 
전주시 완산구,20210521,금요일,외지인(b),100142 
전주시 완산구,20210522,토요일,외지인(b),141236 
전주시 완산구,20210523,일요일,외지인(b),109305 
전주시 완산구,20210524,월요일,외지인(b),85092 
전주시 완산구,20210525,화요일,외지인(b),85505 
전주시 완산구,20210526,수요일,외지인(b),85495 
전주시 완산구,20210527,목요일,외지인(b),86433 
전주시 완산구,20210528,금요일,외지인(b),98312 
전주시 완산구,20210529,토요일,외지인(b),139108 
전주시 완산구,20210530,일요일,외지인(b),112476 
전주시 완산구,20210531,월요일,외지인(b),85950 
전주시 완산구,20210601,화요일,외지인(b),73038 
전주시 완산구,20210602,수요일,외지인(b),73945 
전주시 완산구,20210603,목요일,외지인(b),72317 
전주시 완산구,20210604,금요일,외지인(b),92813 
전주시 완산구,20210605,토요일,외지인(b),133077 
전주시 완산구,20210606,일요일,외지인(b),102704 
전주시 완산구,20210607,월요일,외지인(b),78428 
전주시 완산구,20210608,화요일,외지인(b),78001 
전주시 완산구,20210609,수요일,외지인(b),79667 
전주시 완산구,20210610,목요일,외지인(b),79895 
전주시 완산구,20210611,금요일,외지인(b),93716 
전주시 완산구,20210612,토요일,외지인(b),127558 
전주시 완산구,20210613,일요일,외지인(b),103590 
전주시 완산구,20210614,월요일,외지인(b),81708 
전주시 완산구,20210615,화요일,외지인(b),80822 
전주시 완산구,20210616,수요일,외지인(b),85936 
전주시 완산구,20210617,목요일,외지인(b),87192 
전주시 완산구,20210618,금요일,외지인(b),102407 
전주시 완산구,20210619,토요일,외지인(b),139440 
전주시 완산구,20210620,일요일,외지인(b),113533 
전주시 완산구,20210621,월요일,외지인(b),88032 
전주시 완산구,20210622,화요일,외지인(b),87248 
전주시 완산구,20210623,수요일,외지인(b),87455 
전주시 완산구,20210624,목요일,외지인(b),90489 
전주시 완산구,20210625,금요일,외지인(b),106134 
전주시 완산구,20210626,토요일,외지인(b),137165 
전주시 완산구,20210627,일요일,외지인(b),111860 
전주시 완산구,20210628,월요일,외지인(b),90479 
전주시 완산구,20210629,화요일,외지인(b),90997 
전주시 완산구,20210630,수요일,외지인(b),93090 
전주시 완산구,20210701,목요일,외지인(b),79202 
전주시 완산구,20210702,금요일,외지인(b),95669 
전주시 완산구,20210703,토요일,외지인(b),122280 
전주시 완산구,20210704,일요일,외지인(b),102403 
전주시 완산구,20210705,월요일,외지인(b),79786 
전주시 완산구,20210706,화요일,외지인(b),77784 
전주시 완산구,20210707,수요일,외지인(b),81004 
전주시 완산구,20210708,목요일,외지인(b),85446 
전주시 완산구,20210709,금요일,외지인(b),101199 
전주시 완산구,20210710,토요일,외지인(b),134362 
전주시 완산구,20210711,일요일,외지인(b),108385 
전주시 완산구,20210712,월요일,외지인(b),86832 
전주시 완산구,20210713,화요일,외지인(b),87262 
전주시 완산구,20210714,수요일,외지인(b),86870 
전주시 완산구,20210715,목요일,외지인(b),87945 
전주시 완산구,20210716,금요일,외지인(b),101780 
전주시 완산구,20210717,토요일,외지인(b),130995 
전주시 완산구,20210718,일요일,외지인(b),111325 
전주시 완산구,20210719,월요일,외지인(b),91420 
전주시 완산구,20210720,화요일,외지인(b),90958 
전주시 완산구,20210721,수요일,외지인(b),92764 
전주시 완산구,20210722,목요일,외지인(b),93156 
전주시 완산구,20210723,금요일,외지인(b),104759 
전주시 완산구,20210724,토요일,외지인(b),125864 
전주시 완산구,20210725,일요일,외지인(b),105074 
전주시 완산구,20210726,월요일,외지인(b),97549 
전주시 완산구,20210727,화요일,외지인(b),94462 
전주시 완산구,20210728,수요일,외지인(b),94889 
전주시 완산구,20210729,목요일,외지인(b),99421 
전주시 완산구,20210730,금요일,외지인(b),111993 
전주시 완산구,20210731,토요일,외지인(b),132699 
전주시 완산구,20210801,일요일,외지인(b),100702 
전주시 완산구,20210802,월요일,외지인(b),96516 
전주시 완산구,20210803,화요일,외지인(b),94028 
전주시 완산구,20210804,수요일,외지인(b),91389 
전주시 완산구,20210805,목요일,외지인(b),90342 
전주시 완산구,20210806,금요일,외지인(b),99729 
전주시 완산구,20210807,토요일,외지인(b),116232 
전주시 완산구,20210808,일요일,외지인(b),93821 
전주시 완산구,20210809,월요일,외지인(b),86489 
전주시 완산구,20210810,화요일,외지인(b),87014 
전주시 완산구,20210811,수요일,외지인(b),88886 
전주시 완산구,20210812,목요일,외지인(b),88816 
전주시 완산구,20210813,금요일,외지인(b),101003 
전주시 완산구,20210814,토요일,외지인(b),128408 
전주시 완산구,20210815,일요일,외지인(b),122549 
전주시 완산구,20210816,월요일,외지인(b),106834 
전주시 완산구,20210817,화요일,외지인(b),90167 
전주시 완산구,20210818,수요일,외지인(b),87077 
전주시 완산구,20210819,목요일,외지인(b),89166 
전주시 완산구,20210820,금요일,외지인(b),98231 
전주시 완산구,20210821,토요일,외지인(b),111678 
전주시 완산구,20210822,일요일,외지인(b),99817 
전주시 완산구,20210823,월요일,외지인(b),83706 
전주시 완산구,20210824,화요일,외지인(b),81904 
전주시 완산구,20210825,수요일,외지인(b),87185 
전주시 완산구,20210826,목요일,외지인(b),90265 
전주시 완산구,20210827,금요일,외지인(b),87315 
전주시 완산구,20210828,토요일,외지인(b),112536 
전주시 완산구,20210829,일요일,외지인(b),91522 
전주시 완산구,20210830,월요일,외지인(b),85281 
전주시 완산구,20210901,수요일,외지인(b),69150 
전주시 완산구,20210902,목요일,외지인(b),72454 
전주시 완산구,20210903,금요일,외지인(b),84315 
전주시 완산구,20210904,토요일,외지인(b),113897 
전주시 완산구,20210905,일요일,외지인(b),92428 
전주시 완산구,20210906,월요일,외지인(b),75481 
전주시 완산구,20210907,화요일,외지인(b),77014 
전주시 완산구,20210908,수요일,외지인(b),81648 
전주시 완산구,20210909,목요일,외지인(b),83332 
전주시 완산구,20210910,금요일,외지인(b),95323 
전주시 완산구,20210911,토요일,외지인(b),126298 
전주시 완산구,20210912,일요일,외지인(b),101322 
전주시 완산구,20210913,월요일,외지인(b),86517 
전주시 완산구,20210914,화요일,외지인(b),87724 
전주시 완산구,20210915,수요일,외지인(b),91147 
전주시 완산구,20210916,목요일,외지인(b),94210 
전주시 완산구,20210917,금요일,외지인(b),106005 
전주시 완산구,20210918,토요일,외지인(b),142951 
전주시 완산구,20210919,일요일,외지인(b),161004 
전주시 완산구,20210920,월요일,외지인(b),166268 
전주시 완산구,20210921,화요일,외지인(b),159460 
전주시 완산구,20210922,수요일,외지인(b),119917 
전주시 완산구,20210923,목요일,외지인(b),97657 
전주시 완산구,20210924,금요일,외지인(b),100975 
전주시 완산구,20210925,토요일,외지인(b),121954 
전주시 완산구,20210926,일요일,외지인(b),97209 
전주시 완산구,20210927,월요일,외지인(b),87847 
