도시이름,날짜,요일한글,방문객한글,방문자수
부안군,20210601,화요일,외지인(b),16370
부안군,20210602,수요일,외지인(b),16079
부안군,20210603,목요일,외지인(b),13790
부안군,20210604,금요일,외지인(b),22330
부안군,20210605,토요일,외지인(b),46785
부안군,20210606,일요일,외지인(b),45024
부안군,20210607,월요일,외지인(b),18970
부안군,20210608,화요일,외지인(b),16807
부안군,20210609,수요일,외지인(b),17686
부안군,20210610,목요일,외지인(b),17311
부안군,20210611,금요일,외지인(b),20787
부안군,20210612,토요일,외지인(b),43995
부안군,20210613,일요일,외지인(b),43015
부안군,20210614,월요일,외지인(b),19558
부안군,20210615,화요일,외지인(b),16653
부안군,20210616,수요일,외지인(b),18228
부안군,20210617,목요일,외지인(b),18291
부안군,20210618,금요일,외지인(b),22985
부안군,20210619,토요일,외지인(b),47292
부안군,20210620,일요일,외지인(b),44114
부안군,20210621,월요일,외지인(b),21844
부안군,20210622,화요일,외지인(b),20535
부안군,20210623,수요일,외지인(b),19299
부안군,20210624,목요일,외지인(b),22211
부안군,20210625,금요일,외지인(b),27864
부안군,20210626,토요일,외지인(b),49389
부안군,20210627,일요일,외지인(b),46260
부안군,20210628,월요일,외지인(b),21361
부안군,20210629,화요일,외지인(b),20465
부안군,20210630,수요일,외지인(b),19912
부안군,20210701,목요일,외지인(b),18533
부안군,20210702,금요일,외지인(b),22666
부안군,20210703,토요일,외지인(b),33166
부안군,20210704,일요일,외지인(b),31871
부안군,20210705,월요일,외지인(b),17812
부안군,20210706,화요일,외지인(b),15099
부안군,20210707,수요일,외지인(b),14459
부안군,20210708,목요일,외지인(b),17206
부안군,20210709,금요일,외지인(b),21347
부안군,20210710,토요일,외지인(b),38308
부안군,20210711,일요일,외지인(b),37597
부안군,20210712,월요일,외지인(b),20087
부안군,20210713,화요일,외지인(b),19268
부안군,20210714,수요일,외지인(b),18925
부안군,20210715,목요일,외지인(b),20055
부안군,20210716,금요일,외지인(b),24490
부안군,20210717,토요일,외지인(b),40859
부안군,20210718,일요일,외지인(b),40152
부안군,20210719,월요일,외지인(b),22015
부안군,20210720,화요일,외지인(b),22176
부안군,20210721,수요일,외지인(b),22201
부안군,20210722,목요일,외지인(b),23996
부안군,20210723,금요일,외지인(b),27573
부안군,20210724,토요일,외지인(b),44552
부안군,20210725,일요일,외지인(b),43747
부안군,20210726,월요일,외지인(b),26313
부안군,20210727,화요일,외지인(b),25445
부안군,20210728,수요일,외지인(b),25925
부안군,20210729,목요일,외지인(b),28945
