월.일,최대순간풍향/풍속(m/s)(시각),최저기온(시각),최고기온(시각),일강우량,최저습도(시각),최고습도(시각),최저기압(시각),최고기압(시각)
9.3,0.0 / N6.4,15.5,28,1,40,100,1006.1,1010.5
9.29,278.6 / W8.6,19.5,24.3,16.6,84,100,1007.4,1011.4
9.28,137.8 / SE4.4,18.3,24.6,1,62,100,1011.2,1014.7
9.27,304.0 / NW4.5,16.2,26.4,0,50,93,1013.4,1018.4
9.26,76.0 / ENE5.2,15,25,0,54,100,1017.5,1022.2
9.25,67.5 / ENE5.7,13.3,25.6,0,55,100,1019.6,1024.5
9.24,76.0 / ENE4.5,11.8,25.9,0,51,100,1020.6,1024
9.23,290.0 / WNW6.5,13.7,25.2,0,48,100,1014.4,1021.7
9.22,258.8 / W11.0,16.4,26.1,1.8,59,100,1008.4,1014.5
9.21,188.6 / S9.9,17.1,25.4,36.2,67,100,1005.3,1009.5
9.2,112.5 / ESE6.8,14.7,26.3,0,57,100,1008.9,1015.9
9.19,84.4 / E3.8,14.6,28.3,0,45,100,1013.4,1018.4
9.18,135.1 / SE4.4,15.7,27,0,52,100,1011.3,1017.3
9.17,14.0 / NNE7.5,17.4,24.7,2.9,70,100,1004.2,1011.4
9.16,109.6 / ESE6.1,14.2,25.4,0.2,53,98,1009,1015.5
9.15,84.4 / E8.9,16.2,27.4,0,46,96,1012.2,1015.7
9.14,106.9 / ESE7.9,18.5,24.4,0,69,90,1011.9,1015.6
9.13,123.8 / SE6.3,17.5,25.9,0,54,100,1014.8,1017.3
9.12,304.0 / NW5.0,18.2,29.3,0,54,100,1011.1,1015.6
9.11,135.1 / SE4.1,17.4,29.1,0,44,100,1010,1015
9.1,157.6 / SSE4.4,18.2,23.3,0.2,73,100,1013.2,1014.9
9.09,256.1 / WSW4.6,16,27.5,0,54,100,1012.3,1015.8
9.08,8.3 / N5.4,16.2,25.7,1.7,57,100,1009.3,1014.4
9.07,199.8 / SSW6.1,18.9,23.3,3,80,100,1007.4,1013.9
9.06,123.8 / SE5.9,17.7,20.9,4.7,80,100,1013.5,1019.7
9.05,84.4 / E6.3,17.7,23.1,1.3,68,100,1016.4,1019.7
9.04,109.6 / ESE3.7,16.5,26.1,0,60,100,1012.3,1017.4
9.03,132.3 / SE5.3,18.2,25,3.1,69,100,1007.8,1012.3
9.02,222.3 / SW5.5,19.1,24.1,0.4,76,100,1008.6,1011.1
9.01,154.8 / SSE7.4,20.1,26.3,16.7,79,100,1007.8,1012
8.31,143.5 / SE5.6,20.8,29.3,0.3,64,100,1012,1016.8
8.3,11.1 / N4.5,20.1,28.1,0.3,54,100,1014.1,1016.9
8.29,323.7 / NW6.9,20.5,25.7,28.5,85,100,1012.2,1015.6
8.28,258.8 / W4.0,18.7,29.2,0,43,100,1013,1015.6
8.27,202.6 / SSW11.2,19.8,24.4,53.5,92,100,1009.7,1014.5
8.26,154.8 / SSE4.6,20.3,29.4,0,59,100,1009.7,1014.9
8.25,202.6 / SSW7.1,22.1,26,5.2,84,100,1005.7,1009.7
8.24,202.6 / SSW8.7,21.2,27.8,72.3,78,100,999,1006.1
8.23,109.6 / ESE5.1,21.2,23.6,41.5,88,100,1001.4,1011.8
8.22,233.6 / SW4.5,20.5,28.2,0,62,100,1007.6,1011.5
8.21,168.8 / S7.1,20.8,24.9,26.1,85,100,1001.5,1010.9
8.2,213.8 / SW6.6,17.6,29.1,0,56,100,1010.3,1014.2
8.19,146.3 / SSE7.9,19,28.1,4.9,57,100,1010.3,1014
8.18,64.6 / ENE6.2,18.1,27.8,6.1,61,100,1007.9,1010.8
8.17,5.5 / N5.9,18.5,29.3,0,53,97,1005.9,1012.5
8.16,78.8 / E7.2,20,28.8,0,52,98,1011.6,1015.6
8.15,143.5 / SE4.1,19.6,29.8,0,54,100,1011,1015.4
8.14,36.5 / NE4.8,20.5,27.2,7.8,63,100,1005.4,1011.3
8.13,5.5 / N5.2,20.2,29.4,0,54,100,1003.7,1008.8
8.12,222.3 / SW4.9,20.8,30.2,0,56,100,1007.6,1011.2
8.11,222.3 / SW4.2,19.3,30.8,0,48,100,1008.2,1012
8.1,152.0 / SSE9.0,20.7,30.6,76.6,60,100,1005.8,1011.2
8.09,290.0 / WNW6.4,20.1,30.9,0,55,100,1001.8,1006.1
8.08,157.6 / SSE9.2,22.1,29.6,13.5,66,100,1000.8,1003.9
8.07,33.7 / NNE5.1,20.7,33,0,52,100,1001.4,1004.4
8.06,278.6 / W9.8,21.6,32.9,0,51,100,1001.1,1005.9
8.05,30.8 / NNE6.6,23,32.9,0,56,100,1003.8,1009.4
8.04,123.8 / SE4.6,22.3,32.5,0,58,100,1006.7,1011.2
8.03,168.8 / S5.3,23.1,30.7,11.6,63,100,1005.2,1010.4
8.02,281.5 / WNW5.1,23.2,28.2,20.1,77,100,1001.5,1006.6
8.01,258.8 / W7.8,22.8,31.7,2.6,60,100,999.1,1002.6
7.31,258.8 / W4.9,23.7,33.6,1.6,52,100,999.4,1002.3
7.3,213.8 / SW6.3,21.5,32.5,0,48,100,999.5,1003
