지자체이름,날짜,요일숫자,요일한글,방문객숫자,방문객한글,방문자수
전라북도,20210427,2,화요일,2,외지인(b),183655.5
전라북도,20210428,3,수요일,2,외지인(b),183830.5
전라북도,20210429,4,목요일,2,외지인(b),192888.5
전라북도,20210430,5,금요일,2,외지인(b),239620.5
전라북도,20210501,6,토요일,2,외지인(b),321867
전라북도,20210502,7,일요일,2,외지인(b),306761
전라북도,20210503,1,월요일,2,외지인(b),174881
전라북도,20210504,2,화요일,2,외지인(b),181727
전라북도,20210505,3,수요일,2,외지인(b),258349
전라북도,20210506,4,목요일,2,외지인(b),190533
전라북도,20210507,5,금요일,2,외지인(b),236600
전라북도,20210508,6,토요일,2,외지인(b),393491
전라북도,20210509,7,일요일,2,외지인(b),354021.5
전라북도,20210510,1,월요일,2,외지인(b),164853.5
전라북도,20210511,2,화요일,2,외지인(b),158609.5
전라북도,20210512,3,수요일,2,외지인(b),164041.5
전라북도,20210513,4,목요일,2,외지인(b),173446
전라북도,20210514,5,금요일,2,외지인(b),208519.5
전라북도,20210515,6,토요일,2,외지인(b),281519
전라북도,20210516,7,일요일,2,외지인(b),239953
전라북도,20210517,1,월요일,2,외지인(b),167265
전라북도,20210518,2,화요일,2,외지인(b),200196.5
전라북도,20210519,3,수요일,2,외지인(b),267834
전라북도,20210520,4,목요일,2,외지인(b),178731
전라북도,20210521,5,금요일,2,외지인(b),215943
전라북도,20210522,6,토요일,2,외지인(b),334855.5
전라북도,20210523,7,일요일,2,외지인(b),303075.5
전라북도,20210524,1,월요일,2,외지인(b),184222.5
전라북도,20210525,2,화요일,2,외지인(b),182276.5
전라북도,20210526,3,수요일,2,외지인(b),185664.5
전라북도,20210527,4,목요일,2,외지인(b),182049
전라북도,20210528,5,금요일,2,외지인(b),215978
전라북도,20210529,6,토요일,2,외지인(b),335548.5
전라북도,20210530,7,일요일,2,외지인(b),309554
전라북도,20210531,1,월요일,2,외지인(b),186791.5
전라북도,20210601,2,화요일,2,외지인(b),133651
전라북도,20210602,3,수요일,2,외지인(b),136559.5
전라북도,20210603,4,목요일,2,외지인(b),134596
전라북도,20210604,5,금요일,2,외지인(b),183242.5
전라북도,20210605,6,토요일,2,외지인(b),299085.5
전라북도,20210606,7,일요일,2,외지인(b),273325.5
전라북도,20210607,1,월요일,2,외지인(b),154402.5
전라북도,20210608,2,화요일,2,외지인(b),154549.5
전라북도,20210609,3,수요일,2,외지인(b),155708
전라북도,20210610,4,목요일,2,외지인(b),160643
전라북도,20210611,5,금요일,2,외지인(b),187701.5
전라북도,20210612,6,토요일,2,외지인(b),301591.5
전라북도,20210613,7,일요일,2,외지인(b),281974
전라북도,20210614,1,월요일,2,외지인(b),168756
전라북도,20210615,2,화요일,2,외지인(b),165413.5
