,도시이름,날짜,요일한글,방문객한글,방문자수
0,김제시,20210507,금요일,외지인(b),32497.5
1,김제시,20210506,목요일,외지인(b),27972.0
2,김제시,20210505,수요일,외지인(b),41965.0
3,김제시,20210504,화요일,외지인(b),26418.0
4,김제시,20210509,일요일,외지인(b),49395.5
5,김제시,20210508,토요일,외지인(b),58618.0
6,김제시,20210510,월요일,외지인(b),24115.0
7,김제시,20210615,화요일,외지인(b),25641.0
8,김제시,20210616,수요일,외지인(b),28686.0
9,김제시,20210617,목요일,외지인(b),28539.0
10,김제시,20210619,토요일,외지인(b),43743.0
11,김제시,20210618,금요일,외지인(b),29291.5
12,김제시,20210620,일요일,외지인(b),40645.5
13,김제시,20210621,월요일,외지인(b),29582.0
14,김제시,20210622,화요일,외지인(b),30247.0
15,김제시,20210605,토요일,외지인(b),41989.5
16,김제시,20210623,수요일,외지인(b),28994.0
17,김제시,20210606,일요일,외지인(b),37233.0
18,김제시,20210608,화요일,외지인(b),26439.0
19,김제시,20210607,월요일,외지인(b),25816.0
20,김제시,20210610,목요일,외지인(b),28129.5
21,김제시,20210609,수요일,외지인(b),26901.0
22,김제시,20210612,토요일,외지인(b),41758.5
23,김제시,20210611,금요일,외지인(b),27615.0
24,김제시,20210613,일요일,외지인(b),39238.5
25,김제시,20210614,월요일,외지인(b),26400.5
26,김제시,20210701,목요일,외지인(b),25529.0
27,김제시,20210703,토요일,외지인(b),35871.5
28,김제시,20210705,월요일,외지인(b),23373.0
29,김제시,20210704,일요일,외지인(b),32749.5
30,김제시,20210707,수요일,외지인(b),21077.0
31,김제시,20210706,화요일,외지인(b),20940.5
32,김제시,20210710,토요일,외지인(b),40617.5
33,김제시,20210708,목요일,외지인(b),24248.0
34,김제시,20210709,금요일,외지인(b),29137.5
35,김제시,20210711,일요일,외지인(b),37723.0
36,김제시,20210624,목요일,외지인(b),30838.5
37,김제시,20210625,금요일,외지인(b),32679.5
38,김제시,20210627,일요일,외지인(b),39322.5
39,김제시,20210626,토요일,외지인(b),42854.0
40,김제시,20210629,화요일,외지인(b),29130.5
41,김제시,20210628,월요일,외지인(b),29015.0
42,김제시,20210630,수요일,외지인(b),29953.0
43,김제시,20210702,금요일,외지인(b),28581.0
44,김제시,20210525,화요일,외지인(b),27240.5
45,김제시,20210527,목요일,외지인(b),27009.5
46,김제시,20210526,수요일,외지인(b),29113.0
47,김제시,20210530,일요일,외지인(b),42378.0
48,김제시,20210529,토요일,외지인(b),43935.5
49,김제시,20210528,금요일,외지인(b),28742.0
50,김제시,20210531,월요일,외지인(b),28248.5
51,김제시,20210602,수요일,외지인(b),25529.0
52,김제시,20210601,화요일,외지인(b),25490.5
53,김제시,20210517,월요일,외지인(b),24451.0
54,김제시,20210604,금요일,외지인(b),29253.0
55,김제시,20210603,목요일,외지인(b),21612.5
56,김제시,20210518,화요일,외지인(b),31346.0
57,김제시,20210519,수요일,외지인(b),47932.5
58,김제시,20210520,목요일,외지인(b),25336.5
59,김제시,20210521,금요일,외지인(b),28735.0
60,김제시,20210523,일요일,외지인(b),39284.0
61,김제시,20210522,토요일,외지인(b),43638.0
62,김제시,20210524,월요일,외지인(b),28416.5
63,김제시,20210730,금요일,외지인(b),34412.0
64,김제시,20210814,토요일,외지인(b),39889.5
65,김제시,20210712,월요일,외지인(b),25361.0
66,김제시,20210813,금요일,외지인(b),30737.0
67,김제시,20210812,목요일,외지인(b),27366.5
68,김제시,20210717,토요일,외지인(b),40691.0
69,김제시,20210718,일요일,외지인(b),36676.5
70,김제시,20210805,목요일,외지인(b),27954.5
71,김제시,20210719,월요일,외지인(b),26397.0
72,김제시,20210804,수요일,외지인(b),28056.0
73,김제시,20210803,화요일,외지인(b),26995.5
74,김제시,20210720,화요일,외지인(b),28665.0
75,김제시,20210724,토요일,외지인(b),42833.0
76,김제시,20210725,일요일,외지인(b),38598.0
77,김제시,20210818,수요일,외지인(b),27139.0
78,김제시,20210726,월요일,외지인(b),30471.0
79,김제시,20210817,화요일,외지인(b),27940.5
80,김제시,20210810,화요일,외지인(b),27303.5
81,김제시,20210811,수요일,외지인(b),27646.5
82,김제시,20210924,금요일,외지인(b),33106.5
83,김제시,20210921,화요일,외지인(b),102273.5
84,김제시,20210923,목요일,외지인(b),32105.5
85,김제시,20210815,일요일,외지인(b),42637.0
86,김제시,20210731,토요일,외지인(b),44352.0
87,김제시,20210801,일요일,외지인(b),34765.5
88,김제시,20210919,일요일,외지인(b),67865.0
89,김제시,20210802,월요일,외지인(b),26551.0
90,김제시,20210918,토요일,외지인(b),53648.0
91,김제시,20210807,토요일,외지인(b),37565.5
92,김제시,20210806,금요일,외지인(b),29582.0
93,김제시,20210808,일요일,외지인(b),34146.0
94,김제시,20210917,금요일,외지인(b),31766.0
95,김제시,20210816,월요일,외지인(b),36473.5
96,김제시,20210916,목요일,외지인(b),31538.5
97,김제시,20210925,토요일,외지인(b),44058.0
98,김제시,20210809,월요일,외지인(b),26988.5
99,김제시,20210821,토요일,외지인(b),29925.0
100,김제시,20210828,토요일,외지인(b),42476.0
101,김제시,20210729,목요일,외지인(b),30579.5
102,김제시,20210714,수요일,외지인(b),27111.0
103,김제시,20210713,화요일,외지인(b),26442.5
104,김제시,20210715,목요일,외지인(b),27541.5
105,김제시,20210824,화요일,외지인(b),23215.5
106,김제시,20210716,금요일,외지인(b),30418.5
107,김제시,20210823,월요일,외지인(b),23079.0
108,김제시,20210819,목요일,외지인(b),28756.0
109,김제시,20210822,일요일,외지인(b),38678.5
110,김제시,20210820,금요일,외지인(b),31314.5
111,김제시,20210827,금요일,외지인(b),26953.5
112,김제시,20210722,목요일,외지인(b),29631.0
113,김제시,20210721,수요일,외지인(b),29148.0
114,김제시,20210723,금요일,외지인(b),32508.0
115,김제시,20210727,화요일,외지인(b),28987.0
116,김제시,20210825,수요일,외지인(b),26075.0
117,김제시,20210826,목요일,외지인(b),30131.5
118,김제시,20210728,수요일,외지인(b),29344.0
119,김제시,20210901,수요일,외지인(b),23005.5
120,김제시,20210913,월요일,외지인(b),30079.0
