,도시이름,날짜,요일한글,방문객한글,방문자수
0,부안군,20210506,목요일,외지인(b),22291.5
1,부안군,20210508,토요일,외지인(b),49595.0
2,부안군,20210507,금요일,외지인(b),25480.0
3,부안군,20210505,수요일,외지인(b),44999.5
4,부안군,20210510,월요일,외지인(b),16495.5
5,부안군,20210509,일요일,외지인(b),46378.5
6,부안군,20210615,화요일,외지인(b),16653.0
7,부안군,20210614,월요일,외지인(b),19558.0
8,부안군,20210616,수요일,외지인(b),18228.0
9,부안군,20210618,금요일,외지인(b),22984.5
10,부안군,20210617,목요일,외지인(b),18291.0
11,부안군,20210619,토요일,외지인(b),47292.0
12,부안군,20210620,일요일,외지인(b),44114.0
13,부안군,20210622,화요일,외지인(b),20534.5
14,부안군,20210621,월요일,외지인(b),21843.5
15,부안군,20210605,토요일,외지인(b),46784.5
16,부안군,20210607,월요일,외지인(b),18970.0
17,부안군,20210606,일요일,외지인(b),45024.0
18,부안군,20210609,수요일,외지인(b),17685.5
19,부안군,20210608,화요일,외지인(b),16807.0
20,부안군,20210611,금요일,외지인(b),20786.5
21,부안군,20210610,목요일,외지인(b),17311.0
22,부안군,20210612,토요일,외지인(b),43995.0
23,부안군,20210613,일요일,외지인(b),43015.0
24,부안군,20210702,금요일,외지인(b),22666.0
25,부안군,20210703,토요일,외지인(b),33166.0
26,부안군,20210704,일요일,외지인(b),31871.0
27,부안군,20210706,화요일,외지인(b),15099.0
28,부안군,20210705,월요일,외지인(b),17811.5
29,부안군,20210708,목요일,외지인(b),17206.0
30,부안군,20210707,수요일,외지인(b),14458.5
31,부안군,20210710,토요일,외지인(b),38307.5
32,부안군,20210709,금요일,외지인(b),21346.5
33,부안군,20210711,일요일,외지인(b),37597.0
34,부안군,20210623,수요일,외지인(b),19299.0
35,부안군,20210625,금요일,외지인(b),27863.5
36,부안군,20210624,목요일,외지인(b),22211.0
37,부안군,20210626,토요일,외지인(b),49388.5
38,부안군,20210628,월요일,외지인(b),21360.5
39,부안군,20210627,일요일,외지인(b),46259.5
40,부안군,20210629,화요일,외지인(b),20464.5
41,부안군,20210701,목요일,외지인(b),18532.5
42,부안군,20210630,수요일,외지인(b),19911.5
43,부안군,20210523,일요일,외지인(b),44534.0
44,부안군,20210525,화요일,외지인(b),18032.0
45,부안군,20210526,수요일,외지인(b),18606.0
46,부안군,20210527,목요일,외지인(b),17759.0
47,부안군,20210528,금요일,외지인(b),21350.0
48,부안군,20210530,일요일,외지인(b),47439.0
49,부안군,20210529,토요일,외지인(b),49420.0
50,부안군,20210531,월요일,외지인(b),18767.0
51,부안군,20210601,화요일,외지인(b),16369.5
52,부안군,20210603,목요일,외지인(b),13790.0
53,부안군,20210602,수요일,외지인(b),16079.0
54,부안군,20210517,월요일,외지인(b),16240.0
55,부안군,20210604,금요일,외지인(b),22330.0
56,부안군,20210518,화요일,외지인(b),22298.5
57,부안군,20210519,수요일,외지인(b),45902.5
58,부안군,20210520,목요일,외지인(b),17717.0
59,부안군,20210521,금요일,외지인(b),23138.5
60,부안군,20210522,토요일,외지인(b),47397.0
61,부안군,20210524,월요일,외지인(b),19705.0
62,부안군,20210814,토요일,외지인(b),51012.5
63,부안군,20210712,월요일,외지인(b),20086.5
64,부안군,20210730,금요일,외지인(b),34398.0
65,부안군,20210812,목요일,외지인(b),25585.0
66,부안군,20210713,화요일,외지인(b),19267.5
67,부안군,20210813,금요일,외지인(b),30408.0
68,부안군,20210717,토요일,외지인(b),40859.0
69,부안군,20210718,일요일,외지인(b),40152.0
70,부안군,20210805,목요일,외지인(b),32707.5
71,부안군,20210719,월요일,외지인(b),22015.0
72,부안군,20210803,화요일,외지인(b),35584.5
73,부안군,20210720,화요일,외지인(b),22176.0
74,부안군,20210804,수요일,외지인(b),31885.0
75,부안군,20210724,토요일,외지인(b),44551.5
76,부안군,20210725,일요일,외지인(b),43746.5
77,부안군,20210818,수요일,외지인(b),23754.5
78,부안군,20210726,월요일,외지인(b),26313.0
79,부안군,20210817,화요일,외지인(b),24773.0
80,부안군,20210925,토요일,외지인(b),42766.5
81,부안군,20210810,화요일,외지인(b),24013.5
82,부안군,20210924,금요일,외지인(b),26372.5
83,부안군,20210811,수요일,외지인(b),23590.0
84,부안군,20210921,화요일,외지인(b),87251.5
85,부안군,20210923,목요일,외지인(b),25445.0
86,부안군,20210815,일요일,외지인(b),63777.0
87,부안군,20210731,토요일,외지인(b),53613.0
88,부안군,20210801,일요일,외지인(b),51716.0
89,부안군,20210919,일요일,외지인(b),73283.0
90,부안군,20210802,월요일,외지인(b),36795.5
91,부안군,20210918,토요일,외지인(b),48716.5
92,부안군,20210806,금요일,외지인(b),34002.5
93,부안군,20210807,토요일,외지인(b),45118.5
94,부안군,20210808,일요일,외지인(b),41769.0
95,부안군,20210917,금요일,외지인(b),19519.5
96,부안군,20210816,월요일,외지인(b),43946.0
97,부안군,20210916,목요일,외지인(b),17202.5
98,부안군,20210809,월요일,외지인(b),24986.5
99,부안군,20210729,목요일,외지인(b),28945.0
100,부안군,20210714,수요일,외지인(b),18924.5
101,부안군,20210715,목요일,외지인(b),20055.0
102,부안군,20210716,금요일,외지인(b),24489.5
103,부안군,20210823,월요일,외지인(b),19925.5
104,부안군,20210826,목요일,외지인(b),22666.0
105,부안군,20210822,일요일,외지인(b),41510.0
106,부안군,20210721,수요일,외지인(b),22200.5
107,부안군,20210821,토요일,외지인(b),30089.5
108,부안군,20210828,토요일,외지인(b),42210.0
109,부안군,20210820,금요일,외지인(b),27118.0
110,부안군,20210827,금요일,외지인(b),22267.0
111,부안군,20210723,금요일,외지인(b),27573.0
112,부안군,20210722,목요일,외지인(b),23996.0
113,부안군,20210825,수요일,외지인(b),18651.5
114,부안군,20210824,화요일,외지인(b),17360.0
115,부안군,20210819,목요일,외지인(b),24482.5
116,부안군,20210727,화요일,외지인(b),25445.0
117,부안군,20210728,수요일,외지인(b),25924.5
118,부안군,20210901,수요일,외지인(b),13730.5
119,부안군,20210913,월요일,외지인(b),19393.5
120,부안군,20210906,월요일,외지인(b),16058.0
121,부안군,20210912,일요일,외지인(b),41254.5
122,부안군,20210922,수요일,외지인(b),55048.0
123,부안군,20210905,일요일,외지인(b),40218.5
124,부안군,20210911,토요일,외지인(b),45580.5
125,부안군,20210910,금요일,외지인(b),25441.5
126,부안군,20210904,토요일,외지인(b),44691.5
127,부안군,20210909,목요일,외지인(b),21472.5
128,부안군,20210915,수요일,외지인(b),17402.0
129,부안군,20210920,월요일,외지인(b),84504.0
130,부안군,20210903,금요일,외지인(b),23355.5
131,부안군,20210908,수요일,외지인(b),18690.0
132,부안군,20210914,화요일,외지인(b),17801.0
133,부안군,20210829,일요일,외지인(b),37397.5
134,부안군,20210902,목요일,외지인(b),16740.5
135,부안군,20210830,월요일,외지인(b),22186.5
136,부안군,20210907,화요일,외지인(b),14892.5
137,부안군,20210926,일요일,외지인(b),39196.5
138,부안군,20210927,월요일,외지인(b),19761.0
